"Year","Epidemiology Wk","Start","End","Dengue","DHF","HFMD","Salmonellosis(non-enteric fevers)","Acute Upper Respiratory Tract infections","Acute Diarrhoea"
2020,32,2020-08-02,2020-08-08,NA,NA,NA,NA,NA,NA
2020,33,2020-08-09,2020-08-15,NA,NA,NA,NA,NA,NA
2020,34,2020-08-16,2020-08-22,NA,NA,NA,NA,NA,NA
2020,35,2020-08-23,2020-08-29,NA,NA,NA,NA,NA,NA
2020,36,2020-08-30,2020-09-05,NA,NA,NA,NA,NA,NA
2020,37,2020-09-06,2020-09-12,NA,NA,NA,NA,NA,NA
2020,38,2020-09-13,2020-09-19,NA,NA,NA,NA,NA,NA
2020,39,2020-09-20,2020-09-26,NA,NA,NA,NA,NA,NA
2020,40,2020-09-27,2020-10-03,NA,NA,NA,NA,NA,NA
2020,41,2020-10-04,2020-10-10,NA,NA,NA,NA,NA,NA
2020,42,2020-10-11,2020-10-17,NA,NA,NA,NA,NA,NA
2020,43,2020-10-18,2020-10-24,NA,NA,NA,NA,NA,NA
2020,44,2020-10-25,2020-10-31,NA,NA,NA,NA,NA,NA
2020,45,2020-11-01,2020-11-07,NA,NA,NA,NA,NA,NA
2020,46,2020-11-08,2020-11-14,NA,NA,NA,NA,NA,NA
2020,47,2020-11-15,2020-11-21,NA,NA,NA,NA,NA,NA
2020,48,2020-11-22,2020-11-28,NA,NA,NA,NA,NA,NA
2020,49,2020-11-29,2020-12-05,NA,NA,NA,NA,NA,NA
2020,50,2020-12-06,2020-12-12,NA,NA,NA,NA,NA,NA
2020,51,2020-12-13,2020-12-19,NA,NA,NA,NA,NA,NA
2020,52,2020-12-20,2020-12-26,NA,NA,NA,NA,NA,NA
2020,53,2020-12-27,2021-01-02,NA,NA,NA,NA,NA,NA
